"Timestamp","What is your Twitch username?","What is your favorite Dinosaur? ","Favorite Planet","If you have two lasagnas made the exact same and you stack one on the other, what do you get?","Fav Ice Cream","Pizza Toppings that are tasty","Is a Hot Dog a sandwich? If picking other: elaborate on your reasoning.","Favorite Bloons Tower Defense Monkey","Favorite of ""The Boys""","Resident of Time Prison?","Favorite Hash Multiplayer Game","Can Hash fight a Giraffe? "
"2023/07/27 9:33:22 PM MDT","NotM2X","Pterodactyl","Neptune","One Lasagna (Infinite Lasagna Theory)","Mint and Chocolate","Pepperoni;Ham;White Onion;Red Onion;Pineapple","No","Sniper Monkey","Justin","What is Time Prison?","Roblox","Yes with Prep Time"
"2023/07/27 9:33:29 PM MDT","Theater_kid_xv","Dino Chicken nuggie","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","Mint rocky road","Just Cheese (No Toppings);Sausage;Ham;Ground Beef;Chicken;Bacon;White Onion;Red Onion;Banana Pepper;Black Olive","Cake bc I'm special","Hoh?","Eli","Yes","Amogis","Yes no doubt"
"2023/07/27 9:33:47 PM MDT","afrozenmagma","nessie","Saturn","One Lasagna (Infinite Lasagna Theory)","Cookies and Cream","Pepperoni;Chicken;Other, more specific toppings like spinach, artichoke hearts, feta, etc","yes, but not in spirit. Tomatos may be a fruit, but you don't put them in a fruit salad.","I dont play, sorry","Justin","What is Time Prison?","Jackbox","Hash gets beaten to death by giraffe neck"
"2023/07/27 9:34:05 PM MDT","zaneisgone__","Brontosaurus","Neptune","One Lasagna (Infinite Lasagna Theory)","cookies and cream ","Pepperoni;Sausage;White Onion","No","","Eli","Yes","Fortnite","Yes no doubt"
"2023/07/27 9:34:49 PM MDT","oceanmytho","Brontosaurus","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","cookies and cream","Bacon;Green Pepper;White Onion;Red Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Green Olive;Anchovie;Other, more specific toppings like spinach, artichoke hearts, feta, etc","when god sings of his culinary creations are hot dogs not in the choir?","the goatse monke (it is a secret tower monkey)","Drake","What is Time Prison?","Minecraft","Hash gets beaten to death by giraffe neck"
"2023/07/27 9:34:52 PM MDT","shiishix","Brontosaurus","earth, man","Two Lasagnas Stacked","banana","Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Green Olive","it is if you want it to be","ninja","Justin","No","deep rock galactic","Hash gets beaten to death by giraffe neck"
"2023/07/27 9:35:41 PM MDT","vo1dfish","Stegosaurus","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","Blue Moon Cookie Dough","Pepperoni;Sausage;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Other, more specific toppings like spinach, artichoke hearts, feta, etc","Yes","Wizard Monkey, love a good wizard man","Eli","Yes","Payday 2","No but close"
"2023/07/27 9:37:50 PM MDT","Mythwa1","Pterodactyl","Uranus","Two Lasagnas Stacked","Cookies And Cream","Pepperoni;Sausage;Ham;Bacon","No","Don't play","Justin","What is Time Prison?","Fortnite","Hash gets beaten to death by giraffe neck"
"2023/07/27 9:38:05 PM MDT","HisnameisVava","Pterodactyl","Neptune","One Lasagna (Infinite Lasagna Theory)","Chocolate Chip","Pepperoni;Sausage;Bacon","Yes","","Justin","Yes","I just like when Hash plays games. :)","Yes no doubt"
"2023/07/27 9:40:13 PM MDT","Crow_Carcass ","dakotaraptor","Saturn","One Lasagna (Infinite Lasagna Theory)","cookie dough","Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;White Onion;Mushroom;Black Olive","Yes","monkey buccaneer","Eli","Yes","Apex Legends","Yes with Prep Time"
"2023/07/27 9:41:12 PM MDT","NotSoBlonde","T-Rex","earth","One Lasagna (Infinite Lasagna Theory)","vanilla bean","Pepperoni;Sausage;Ground Beef;Bacon;White Onion;Mushroom;Banana Pepper;Black Olive;Green Olive","No","glue gunner","Ben","What is Time Prison?","Phasmophobia","Hash gets beaten to death by giraffe neck"
"2023/07/27 9:42:39 PM MDT","knight_of_life_kl","Dimetrodon (technically not a dinosaur)","Saturn","One Lasagna (Infinite Lasagna Theory)","Caramel Cheesecake Icecream","Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon","Yes","Ninja Monkey","Justin","What is Time Prison?","Payday 2","Hash gets beaten to death by giraffe neck"
"2023/07/27 9:43:09 PM MDT","Theater_kid_xv","Chickn","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","Toothpaste flavor","Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon;White Onion;Red Onion;Banana Pepper;Black Olive","Cake. No reasoning.","Hoh?","Eli","Yes","Amogis","Yes no doubt"
"2023/07/27 9:43:42 PM MDT","KateGamign","Pterodactyl","The Hourglass Twins (Outer Wilds)","One Lasagna (Infinite Lasagna Theory)","Mint chocolate chip ","Just Cheese (No Toppings)","No","Sniper","Eli","What is Time Prison?","Minecraft","No but close"
"2023/07/27 9:49:36 PM MDT","Lukiebooki2 ","T-Rex","Pluto (Justice 4 Pluto fr fr)","","Chocolate ","","Mabe","Monkey buc","","","Terraria","Yes with Prep Time"
"2023/07/27 10:04:15 PM MDT","Fluxix","Baryonyx","Saturn","One Lasagna (Infinite Lasagna Theory)","Moose Tracks","Pepperoni;Sausage;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Banana Pepper;Pineapple;Black Olive;Green Olive","Yes","Boomerang Monkey","Justin","Yes","Phasmophobia","Yes with Prep Time"
"2023/07/27 10:08:39 PM MDT","handsanonynonynonymous","Ankylosaurus","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","Vanilla but also cherry can be pog and cherry garcia and this other one called ""tolak angin""","Ham;Chicken;Bacon;White Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Other, more specific toppings like spinach, artichoke hearts, feta, etc","No","wizard but the beast handler is pretty dope","Justin","No","Payday 2","Yes no doubt"
"2023/07/27 10:17:47 PM MDT","Kaystle","Tyrunt","Uranus","One Lasagna (Infinite Lasagna Theory)","Birthday Cake","Ham;Chicken;Bacon;White Onion;Red Onion;Other, more specific toppings like spinach, artichoke hearts, feta, etc","Yes","Sniper Monkey","","What is Time Prison?","Phasmophobia","Yes with Prep Time"
"2023/07/27 10:30:38 PM MDT","blushingmouse","Stegosaurus","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","Vanilla","Just Cheese (No Toppings);Pepperoni;Ham;Chicken;Bacon;White Onion;Pineapple;Other, more specific toppings like spinach, artichoke hearts, feta, etc","Yes","the one that pops them","Ben","What is Time Prison?","Portal 2 with Mac","No but close"
"2023/07/27 11:06:37 PM MDT","HashIsDead","the one with the spikey ball tail","Jupiter","One Lasagna (Infinite Lasagna Theory)","cookies and cream/superhero","Ground Beef;Other, more specific toppings like spinach, artichoke hearts, feta, etc","Yes","alcamist ","Justin","No","Payday 2","Yes with Prep Time"
"2023/07/28 12:26:12 AM MDT","InsertGenuineName","I don’t like dinosaurs","Earth","One Lasagna (Infinite Lasagna Theory)","I don’t like ice cream","Just Cheese (No Toppings)","Yes","Monk","","What is Time Prison?","Minecraft","Hash gets beaten to death by giraffe neck"
"2023/07/28 2:51:04 AM MDT","ChloeBlueTongue","Brachiosaurus","Saturn","Two Lasagnas Stacked","Cookies n’ cream ","Just Cheese (No Toppings);Mushroom;Pineapple","Yes","I don’t play that game","Justin","What is Time Prison?","Jackbox","No but close"
"2023/07/28 3:07:11 AM MDT","Smabbles_","Velociraptor","Pluto (Justice 4 Pluto fr fr)","Two Lasagnas Stacked","I don’t like icecream","Ham;Green Pepper;Red Onion;Mushroom;Pineapple;Black Olive;Green Olive;Other, more specific toppings like spinach, artichoke hearts, feta, etc","Yes","I like the superman one ","Justin","What is Time Prison?","Phasmophobia","Yes no doubt"
"2023/07/28 7:43:33 AM MDT","xkevvvy","Quetzalcoatlus","Mercury","One Lasagna (Infinite Lasagna Theory)","Hippie vegan ice cream","Pepperoni;Bacon;Other, more specific toppings like spinach, artichoke hearts, feta, etc","Yes","Did not play monkey tower game","Eli","Yes","Phasmophobia","Yes with Prep Time"
"2023/07/28 7:14:56 PM MDT","jacobkiller52","Spinosaurus","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","None","Just Cheese (No Toppings)","Yes","Super Monkey","Jake","What is Time Prison?","N/A","Hash gets beaten to death by giraffe neck"
"2023/07/28 7:28:23 PM MDT","HobgoblinDuke","Therizinosaur","Venus","One Lasagna (Infinite Lasagna Theory)","Butter Pecan","Pepperoni;Sausage;Bacon;White Onion;Banana Pepper","It is a soft shelled taco","the goo mans","Eli","Yes","Payday 2","Hash gets beaten to death by giraffe neck"
"2023/07/30 8:18:43 PM MDT","kushdid911","Stegosaurus","Uranus","One Lasagna (Infinite Lasagna Theory)","ur ice cream :3","","its a taco","super","Justin","No","Portal 2","Hash gets beaten to death by giraffe neck"
"2023/07/30 8:18:56 PM MDT","1800macaroni","Stegosaurus","Uranus","Two Lasagnas Stacked","Cookie dough :3","Pepperoni","It's a taco!!","OMG I love Clash Of Clans!!","Justin","No","Portal 2","No but close"
"2023/07/30 8:19:10 PM MDT","parkersplace_","Velociraptor","Neptune","One Lasagna (Infinite Lasagna Theory)","Brownie chocolate brownie chco bronwoei","Pepperoni","No","MAge","Justin","No","Phasmophobia","Yes no doubt"
"2023/07/31 3:46:48 PM MDT","LegendaryMattyTTV","diplodoculus (Ali A meme starts playing)","Jupiter","One Lasagna (Infinite Lasagna Theory)","Cookies and cream","Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon","Yes","Ben-jamin","Ben","What is Time Prison?","Apex Legends","Hash gets beaten to death by giraffe neck"
"2023/08/01 5:23:08 PM MDT","bajrusain5","Pterodactyl","OGLE-2014-BLG-0124L","One Lasagna (Infinite Lasagna Theory)","sofr serve from kfc","Just Cheese (No Toppings)","what is sandwich","sniper monkey","Justin","Yes","roblox on alvin and the taliban 4","Hash gets beaten to death by giraffe neck"
"2023/08/02 8:08:23 PM MDT","mads0_o","Pterodactyl","Saturn","Two Lasagnas Stacked","Mint n chip Ice Cream","Just Cheese (No Toppings);Sausage;Bacon;Black Olive","A hot dog is an interesting concept. hot dogs are meat between pieces of bread, but that's just the thing. its not pieces so it isnt a sandwich, but it would most resemble a taco in american form.","um um um um i dont play my b","","What is Time Prison?","Phasmophobia","Yes with Prep Time"
"2023/08/02 8:08:51 PM MDT","ryanreeves12456","T-Rex","Saturn","Two Lasagnas Stacked","chocolate chip ice cream ","Just Cheese (No Toppings)","No","Spike Factory.","Jake","What is Time Prison?","Apex Legends","No but close"
"2023/08/02 8:16:24 PM MDT","peachesminecraftgaming/justkofiplease ","Triceratops or Brachiosaurus!!","MERCURY, but tbh star because im a star and sun because i shine so bright 😎😎 but in all seriousness, mercury LOL i just wanted to type this","Two Lasagnas Stacked","VANILLA OR STRAWBERRY CHEESECAKE","Pepperoni;Mushroom;Pineapple;Other, more specific toppings like spinach, artichoke hearts, feta, etc","YES, IT IS. HOWEVER I CAME TO EXPLAIN WHY☝️ A HOTDOG IS A SANDWICH. HAVE YOU EVER HEARD OF THE CUBE RULE? ANYTHING STACKED BETWEEN SOMETHING IS A SANDWICH, ANYTHING ON TOP OF SOMETHING IS A TOAST, IF ITS IN A SHELL ITS A TACO, IF ITS WRAPPED ITS A SUSHI . IT COULD ALSO BE A TACO OR RAVIOLI, BUT WE CAN ALL AGREE A HOTDOG IS JUST A HOTDOG. (OTHER PEOPLE THINK OTHERWISE!!)","IDK WHAT THIS IS SORRY😭","Justin","What is Time Prison?","Phasmophobia","Hash gets beaten to death by giraffe neck"
"2023/08/02 8:38:50 PM MDT","R3kateer","that one that goes ur-rawr","Pluto (Justice 4 Pluto fr fr)","One Lasagna (Infinite Lasagna Theory)","the kind I'm eating ","Pepperoni;Bacon;White Onion;Other, more specific toppings like spinach, artichoke hearts, feta, etc","yes but I don't usually think to SAY it's a sandwich because it's a very specific kinda sammich","oo oo aa aa","Eli","What is Time Prison?","deep rock","Hash gets beaten to death by giraffe neck"
"2023/08/02 10:02:59 PM MDT","sabs4c","Velociraptor","Jupiter","One Lasagna (Infinite Lasagna Theory)","it’s weird it’s puppy chow, but second is classic reese’s","Pepperoni;Sausage;Red Onion","Yes","bruh idfk sorry 😭","Drake","What is Time Prison?","Minecraft","Yes no doubt"
