Nickname,TwitchName,FavoriteDinosaur,FavoritePlanet,Lasagna,FavoriteIceCream,PizzaToppings,HotDog,BTD,Boys,TimePrison,HashGame,Giraffe,PostStream
M2X,NotM2X,Pterodactyl,Neptune,One Lasagna (Infinite Lasagna Theory),Mint Chocolate Chip,Pepperoni;Ham;White Onion;Red Onion;Pineapple,No,Sniper Monkey,Justin,What is Time Prison?,Roblox,Yes with Prep Time,
Theater Kid,Theater_kid_xv,Dino Chicken Nuggy,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),Rocky Road,Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon;White Onion;Red Onion;Banana Pepper;Black Olive,Cake,,Eli,Yes,Among Us,Yes no doubt,
afrozenmagma,afrozenmagma,Nessie,Saturn,One Lasagna (Infinite Lasagna Theory),Cookies and Cream,Pepperoni;Chicken;Other,Yes,,Justin,What is Time Prison?,Jackbox,Hash gets beaten to death by giraffe neck,
Zane,zaneisgone__,Brontosaurus,Neptune,One Lasagna (Infinite Lasagna Theory),Cookies and Cream,Pepperoni;Sausage;White Onion,No,,Eli,Yes,Fortnite,Yes no doubt,
oceanmytho,oceanmytho,Brontosaurus,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),Cookies and Cream,Bacon;Green Pepper;White Onion;Red Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Green Olive;Anchovie;Other,when god sings of his culinary creations are hot dogs not in the choir?,,Drake,What is Time Prison?,Minecraft,Hash gets beaten to death by giraffe neck,
Justin,shiishix,Brontosaurus,Earth,Two Lasagnas Stacked,Banana,Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Green Olive,Maybe,Ninja Monkey,Justin,No,Deep Rock Galactic,Hash gets beaten to death by giraffe neck,
Bec,vo1dfish,Stegosaurus,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),Blue Moon Cookie Dough,Pepperoni;Sausage;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Other,Yes,Wizard Monkey,Eli,Yes,Payday 2,No but close,
Mythwa1,Mythwa1,Pterodactyl,Uranus,Two Lasagnas Stacked,Cookies and Cream,Pepperoni;Sausage;Ham;Bacon,No,,Justin,What is Time Prison?,Fortnite,Hash gets beaten to death by giraffe neck,
Vava,HisnameisVava,Pterodactyl,Neptune,One Lasagna (Infinite Lasagna Theory),Chocolate Chip,Pepperoni;Sausage;Bacon,Yes,,Justin,Yes,I just like when Hash plays games. :),Yes no doubt,
Crow,Crow_Carcass,Dakotaraptor,Saturn,One Lasagna (Infinite Lasagna Theory),Cookie Dough,Just Cheese (No Toppings);Pepperoni;Sausage;Ham;Ground Beef;Chicken;White Onion;Mushroom;Black Olive,Yes,Monkey Buccaneer,Eli,Yes,Apex Legends,Yes with Prep Time,
Ben,NotSoBlonde,T-Rex,Earth,One Lasagna (Infinite Lasagna Theory),Vanilla/Vanilla Bean,Pepperoni;Sausage;Ground Beef;Bacon;White Onion;Mushroom;Banana Pepper;Black Olive;Green Olive,No,Glue Gunner,Ben,What is Time Prison?,Phasmophobia,Hash gets beaten to death by giraffe neck,
knight_of_life_kl,knight_of_life_kl,Dimetrodon,Saturn,One Lasagna (Infinite Lasagna Theory),Caramel Cheesecake,Pepperoni;Sausage;Ham;Ground Beef;Chicken;Bacon,Yes,Ninja Monkey,Justin,What is Time Prison?,Payday 2,Hash gets beaten to death by giraffe neck,
Kate,KateGamign,Pterodactyl,The Hourglass Twins (Outer Wilds),One Lasagna (Infinite Lasagna Theory),Mint Chocolate Chip,Just Cheese (No Toppings),No,Sniper Monkey,Eli,What is Time Prison?,Minecraft,No but close,
Lukiebooki2,Lukiebooki2,T-Rex,Pluto (Justice 4 Pluto fr fr),,Chocolate,,Maybe,Monkey Buccaneer,,,Terraria,Yes with Prep Time,
Eli,Fluxix,Baryonyx,Saturn,One Lasagna (Infinite Lasagna Theory),Moose Tracks,Pepperoni;Sausage;Chicken;Bacon;Green Pepper;White Onion;Red Onion;Banana Pepper;Pineapple;Black Olive;Green Olive,Yes,Boomerang Monkey,Justin,Yes,Phasmophobia,Yes with Prep Time,
Hans,HansAnonymous,Ankylosaurus,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),Vanilla/Vanilla Bean,Ham;Chicken;Bacon;White Onion;Mushroom;Banana Pepper;Pineapple;Black Olive;Other,No,Wizard Monkey,Justin,No,Payday 2,Yes no doubt,
Kaystle,Kaystle,Tyrunt,Uranus,One Lasagna (Infinite Lasagna Theory),Birthday Cake,Ham;Chicken;Bacon;White Onion;Red Onion;Other,Yes,Sniper Monkey,,What is Time Prison?,Phasmophobia,Yes with Prep Time,
Mouse,blushingmouse,Stegosaurus,Pluto (Justice 4 Pluto fr fr),One Lasagna (Infinite Lasagna Theory),Vanilla/Vanilla Bean,Just Cheese (No Toppings);Pepperoni;Ham;Chicken;Bacon;White Onion;Pineapple;Other,Yes,,Ben,What is Time Prison?,Portal 2 with Mac,No but close,
Hash,HashIsDead,Ankylosaurus,Jupiter,One Lasagna (Infinite Lasagna Theory),Cookies and Cream;Superhero,Ground Beef;Other,Yes,Alchemist Monkey,Justin,No,Payday 2,Yes with Prep Time,
IGN,InsertGenuineName,Dislike,Earth,One Lasagna (Infinite Lasagna Theory),Dislike,Just Cheese (No Toppings),Yes,,,What is Time Prison?,Minecraft,Hash gets beaten to death by giraffe neck,
